,Date,open,high,low,close,V,Hour
0,2018-12-11 10:00:00,31949,31985,31946,31980,168,10
1,2018-12-11 10:05:00,31980,31985,31972,31977,117,10
2,2018-12-11 10:10:00,31977,31979,31966,31969,55,10
3,2018-12-11 10:15:00,31969,31969,31950,31950,47,10
4,2018-12-11 10:20:00,31950,31960,31941,31941,37,10
5,2018-12-11 10:25:00,31941,31948,31941,31941,29,10
6,2018-12-11 10:30:00,31941,31955,31939,31955,49,10
7,2018-12-11 10:35:00,31955,31955,31940,31942,22,10
8,2018-12-11 10:40:00,31942,31953,31940,31943,55,10
9,2018-12-11 10:45:00,31943,31950,31943,31948,26,10
10,2018-12-11 10:50:00,31948,31962,31948,31962,67,10
11,2018-12-11 10:55:00,31962,31965,31913,31923,152,10
12,2018-12-11 11:00:00,31923,31938,31915,31934,74,11
13,2018-12-11 11:05:00,31934,31934,31891,31905,117,11
14,2018-12-11 11:10:00,31905,31916,31885,31896,75,11
15,2018-12-11 11:15:00,31896,31897,31873,31875,82,11
16,2018-12-11 11:20:00,31875,31890,31871,31871,58,11
17,2018-12-11 11:25:00,31871,31871,31837,31847,183,11
18,2018-12-11 11:30:00,31847,31869,31847,31861,63,11
19,2018-12-11 11:35:00,31861,31864,31807,31811,171,11
20,2018-12-11 11:40:00,31811,31811,31759,31784,275,11
21,2018-12-11 11:45:00,31784,31786,31760,31781,122,11
22,2018-12-11 11:50:00,31781,31814,31781,31811,147,11
23,2018-12-11 11:55:00,31811,31814,31787,31802,124,11
24,2018-12-11 12:00:00,31802,31829,31798,31827,104,12
25,2018-12-11 12:05:00,31827,31830,31820,31828,64,12
26,2018-12-11 12:10:00,31828,31835,31824,31835,19,12
27,2018-12-11 12:15:00,31835,31835,31823,31826,29,12
28,2018-12-11 12:20:00,31826,31826,31806,31807,31,12
29,2018-12-11 12:25:00,31807,31810,31794,31798,52,12
30,2018-12-11 12:30:00,31798,31841,31795,31837,38,12
31,2018-12-11 12:35:00,31837,31839,31821,31822,21,12
32,2018-12-11 12:40:00,31822,31835,31822,31834,9,12
33,2018-12-11 12:45:00,31834,31849,31834,31842,21,12
34,2018-12-11 12:50:00,31842,31842,31828,31828,24,12
35,2018-12-11 12:55:00,31828,31831,31812,31812,20,12
36,2018-12-11 13:00:00,31814,31814,31780,31798,94,13
37,2018-12-11 13:05:00,31798,31810,31761,31769,125,13
38,2018-12-11 13:10:00,31769,31775,31740,31770,158,13
39,2018-12-11 13:15:00,31778,31792,31768,31788,64,13
40,2018-12-11 13:20:00,31788,31788,31774,31779,55,13
41,2018-12-11 13:25:00,31779,31802,31777,31798,125,13
42,2018-12-11 13:30:00,31798,31821,31798,31821,66,13
43,2018-12-11 13:35:00,31821,31847,31816,31840,62,13
44,2018-12-11 13:40:00,31840,31842,31815,31815,24,13
45,2018-12-11 13:45:00,31815,31830,31810,31813,31,13
46,2018-12-11 13:50:00,31813,31821,31807,31807,7,13
47,2018-12-11 13:55:00,31807,31818,31807,31812,15,13
48,2018-12-11 14:00:00,31812,31817,31795,31802,30,14
49,2018-12-11 14:05:00,31802,31816,31800,31816,35,14
50,2018-12-11 14:10:00,31816,31821,31807,31820,25,14
51,2018-12-11 14:15:00,31820,31825,31817,31822,32,14
52,2018-12-11 14:20:00,31822,31830,31822,31825,49,14
53,2018-12-11 14:25:00,31825,31841,31825,31840,116,14
54,2018-12-11 14:30:00,31840,31840,31827,31827,25,14
55,2018-12-11 14:35:00,31827,31828,31820,31820,16,14
56,2018-12-11 14:40:00,31820,31820,31804,31805,18,14
57,2018-12-11 14:45:00,31805,31818,31802,31815,12,14
58,2018-12-11 14:50:00,31815,31824,31812,31822,43,14
59,2018-12-11 14:55:00,31822,31823,31800,31811,97,14
60,2018-12-11 15:00:00,31811,31827,31806,31826,48,15
61,2018-12-11 15:05:00,31826,31826,31815,31815,21,15
62,2018-12-11 15:10:00,31815,31824,31803,31810,8,15
63,2018-12-11 15:15:00,31810,31820,31810,31820,6,15
64,2018-12-11 15:20:00,31820,31837,31820,31837,34,15
65,2018-12-11 15:25:00,31837,31876,31837,31860,210,15
66,2018-12-11 15:30:00,31860,31867,31849,31857,149,15
67,2018-12-11 15:35:00,31857,31867,31853,31864,41,15
68,2018-12-11 15:40:00,31864,31870,31850,31850,56,15
69,2018-12-11 15:45:00,31850,31850,31835,31835,38,15
70,2018-12-11 15:50:00,31835,31842,31834,31835,35,15
71,2018-12-11 15:55:00,31835,31835,31825,31831,34,15
72,2018-12-11 16:00:00,31831,31839,31829,31830,35,16
73,2018-12-11 16:05:00,31830,31838,31820,31825,42,16
74,2018-12-11 16:10:00,31825,31825,31807,31810,74,16
75,2018-12-11 16:15:00,31810,31837,31810,31833,29,16
76,2018-12-11 16:20:00,31833,31845,31833,31835,51,16
77,2018-12-11 16:25:00,31835,31839,31822,31828,34,16
